"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9485","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9614","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9719","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9535","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"failed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:20:00 GMT 2023","20328","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:20:01 GMT 2023","21519","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9604","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9303","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9625","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9698","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9725","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9529","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
"skipped","Sun Apr 09 20:19:46 GMT 2023","Sun Apr 09 20:19:46 GMT 2023","11","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9605","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9473","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
"passed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:19:49 GMT 2023","9692","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
"failed","Sun Apr 09 20:19:40 GMT 2023","Sun Apr 09 20:20:00 GMT 2023","20252","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
